"","region","city","n","lat","long"
"673","TN","Cookeville",1,36.1623886,-85.4997057
"674","TN","Jackson",1,35.6144446,-88.8177418
"675","TN","Kingsport",2,36.550238,-82.5594293
"676","TN","Knoxville",2,35.9603948,-83.9210261
"677","TN","Madison",1,36.2561646,-86.7138861
"678","TN","Maryville",1,35.7564719,-83.9704593
"679","TN","Memphis",2,35.1460249,-90.0517638
"680","TN","Murfreesboro",1,35.8460396,-86.3921096
"681","TN","Nashville",4,36.1622767,-86.7742984
"682","TN","Oakridge",1,36.3942189,-87.4583444
"683","TN","Sevierville",1,35.8672932,-83.5657167
"684","TX","Abilene",1,32.44645,-99.7475905
"685","TX","Allen",1,33.1031744,-96.6705503
"686","TX","Amarillo",2,35.20729,-101.8371192
"687","TX","Arlington",3,32.7355816,-97.1071186
"688","TX","Austin",5,30.2711286,-97.7436995
"689","TX","Baytown",1,29.7355047,-94.9774274
"690","TX","Beaumont",2,30.0829344,-94.0984277
"691","TX","Brownsville",1,25.9024289,-97.4981698
"692","TX","Conroe",1,30.3118769,-95.4560512
"693","TX","Dallas",3,32.7762719,-96.7968559
"694","TX","Denton",2,33.2150386,-97.1330516
"695","TX","Elpaso",6,31.7601164,-106.4870404
"696","TX","Euless",1,32.8370727,-97.0819541
"697","TX","Frisco",1,33.1505998,-96.8238183
"698","TX","Garland",1,32.912624,-96.6388833
"699","TX","Granbury",1,32.4426759,-97.7870525
"700","TX","Grapevine",1,32.9337381,-97.0788754
"701","TX","Harlingen",1,26.1907543,-97.6960599
"702","TX","Houston",12,29.7589382,-95.3676974
"703","TX","Humble",3,29.9988312,-95.2621553
"704","TX","Hurst",2,32.8234621,-97.1705678
"705","TX","Katy",2,29.7857853,-95.8243956
"706","TX","Kerrville",1,30.048469,-99.1399464
"707","TX","Killeen",1,31.1171441,-97.727796
"708","TX","Lakeway",1,30.3644888,-97.9875325
"709","TX","Laredo",1,27.5075005,-99.5069922
"710","TX","Lewisville",1,33.046233,-96.994174
"711","TX","Longview",1,32.5007031,-94.74049
"712","TX","Lubbock",3,33.5855677,-101.8470215
"713","TX","Mansfield",1,32.563487,-97.1420308
"714","TX","Mcallen",3,26.204114,-98.2300605
"715","TX","Mesquite",1,32.7666103,-96.599472
"716","TX","Midland",1,31.9973662,-102.077948
"717","TX","Nacogdoches",1,31.6037322,-94.6559702
"718","TX","Odessa",2,31.8457149,-102.367687
"719","TX","Pearland",1,29.5639758,-95.2864299
"720","TX","Paris",1,33.6617962,-95.555513
"721","TX","Pasadena",1,29.6910753,-95.2092076
"722","TX","Plano",2,33.0136764,-96.6925096
"723","TX","Richardson",1,32.9481789,-96.7297206
"724","TX","Sanantonio",12,29.4246002,-98.4951405
"725","TX","Seabrook",1,29.5633199,-95.019723
"726","TX","Shenandoah",1,30.1802151,-95.4557726
"727","TX","Sherman",1,33.6398609,-96.6089146
